canonical_vgp_root	packet	source_row	job_id	job_name	partition	state	elapsed	elapsed_seconds	timelimit	allocated_cpus	requested_memory	max_rss	cpu_time_raw	total_cpu	exit_code	node_list	start	end	submit	failure_or_nonterminal
/moosefs/erikg/vgp	scale_vgp_real	48	1781944	vgp10-P08-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:20:14	true
/moosefs/erikg/vgp	scale_vgp_real	49	1781945	vgp10-P08-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:20:14	true
/moosefs/erikg/vgp	scale_vgp_real	50	1781947	vgp10-P08-finalize		CANCELLED by 1001	00:00:00	0	02:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:20:14	true
/moosefs/erikg/vgp	scale_vgp_real	51	1781948	vgp10-P08-annotation		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:20:14	true
/moosefs/erikg/vgp	scale_vgp_real	52	1781946	vgp10-P08-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:21:28	2026-07-19T07:20:14	true
/moosefs/erikg/vgp	scale_vgp_real	53	1781949	vgp10-P08-preflight		COMPLETED	00:00:02	2	01:00:00	4	16G		8	00:00:00	0:0	octopus07	2026-07-19T07:21:28	2026-07-19T07:21:30	2026-07-19T07:21:28	false
/moosefs/erikg/vgp	scale_vgp_real	54	1781950	vgp10-P08-mapping		FAILED	00:00:07	7	3-00:00:00	32	128G		224	00:00:00	1:0	octopus07	2026-07-19T07:21:31	2026-07-19T07:21:38	2026-07-19T07:21:28	true
/moosefs/erikg/vgp	scale_vgp_real	55	1781951	vgp10-P08-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:32:39	2026-07-19T07:21:28	true
/moosefs/erikg/vgp	scale_vgp_real	56	1781952	vgp10-P08-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:32:39	2026-07-19T07:21:28	true
/moosefs/erikg/vgp	scale_vgp_real	57	1781953	vgp10-P08-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:32:39	2026-07-19T07:21:28	true
/moosefs/erikg/vgp	scale_vgp_real	58	1781955	vgp10-P08-finalize		CANCELLED by 1001	00:00:00	0	02:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:32:39	2026-07-19T07:21:28	true
/moosefs/erikg/vgp	scale_vgp_real	59	1781956	vgp10-P08-annotation		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:32:39	2026-07-19T07:21:28	true
/moosefs/erikg/vgp	scale_vgp_real	60	1781954	vgp10-P08-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:32:39	2026-07-19T07:21:28	true
/moosefs/erikg/vgp	scale_vgp_real	61	1781967	vgp10-P08-preflight		COMPLETED	00:00:02	2	01:00:00	4	16G		8	00:00:00	0:0	octopus08	2026-07-19T07:32:39	2026-07-19T07:32:41	2026-07-19T07:32:39	false
/moosefs/erikg/vgp	scale_vgp_real	62	1781968	vgp10-P08-mapping		FAILED	00:00:16	16	3-00:00:00	32	128G		512	00:00:00	1:0	octopus02	2026-07-19T07:32:42	2026-07-19T07:32:58	2026-07-19T07:32:39	true
/moosefs/erikg/vgp	scale_vgp_real	63	1781969	vgp10-P08-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:34:21	2026-07-19T07:32:39	true
/moosefs/erikg/vgp	scale_vgp_real	64	1781970	vgp10-P08-variants		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:34:21	2026-07-19T07:32:40	true
/moosefs/erikg/vgp	scale_vgp_real	65	1781971	vgp10-P08-consensus		CANCELLED by 1001	00:00:00	0	2-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:34:21	2026-07-19T07:32:40	true
/moosefs/erikg/vgp	scale_vgp_real	66	1781973	vgp10-P08-finalize		CANCELLED by 1001	00:00:00	0	02:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:34:21	2026-07-19T07:32:40	true
/moosefs/erikg/vgp	scale_vgp_real	67	1781974	vgp10-P08-annotation		CANCELLED by 1001	00:00:00	0	1-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:34:21	2026-07-19T07:32:40	true
/moosefs/erikg/vgp	scale_vgp_real	68	1781972	vgp10-P08-psmc		CANCELLED by 1001	00:00:00	0	08:00:00	0	16G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:34:21	2026-07-19T07:32:40	true
/moosefs/erikg/vgp	scale_vgp_real	69	1781975	vgp10-P08-preflight		COMPLETED	00:00:02	2	01:00:00	4	16G		8	00:00:00	0:0	octopus08	2026-07-19T07:34:21	2026-07-19T07:34:23	2026-07-19T07:34:21	false
/moosefs/erikg/vgp	scale_vgp_real	70	1781976	vgp10-P08-mapping		FAILED	00:00:02	2	3-00:00:00	32	128G		64	00:00:00	11:0	octopus02	2026-07-19T07:34:25	2026-07-19T07:34:27	2026-07-19T07:34:21	true
/moosefs/erikg/vgp	scale_vgp_real	71	1781977	vgp10-P08-impg		CANCELLED by 1001	00:00:00	0	3-00:00:00	0	128G		0	00:00:00	0:0	None assigned	None	2026-07-19T07:37:16	2026-07-19T07:34:21	true
