row_type	candidate_id	scientific_name	pilot_selected	pilot_selection_group	assembly_composition_eligible	assembly_diversity_eligible	download_bytes_exact	persistent_storage_bytes_exact	core_hours_base	core_hours_high	peak_memory_gib_base	peak_memory_gib_high	wall_hours_base	wall_hours_high	scratch_gb_base	scratch_gb_high	inode_count_base	inode_count_high	moosefs_read_gb_base	moosefs_read_gb_high	moosefs_write_gb_base	moosefs_write_gb_high	metadata_operations_base	metadata_operations_high	formula_version	quota_state	gate_readiness
candidate	notolabrus_celidotus_gca_009762535_1	Notolabrus celidotus	no	UNASSIGNED	no	no	261329222	261329222	0.2375	1.0267	3.33	13.33	0.1813	0.805	6.9169	33.7512	625	2083	7.5003	37.5013	0.0583	0.2917	5000	25001	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	cottoperca_gobio_gca_900634415_1	Cottoperca gobio	no	UNASSIGNED	no	no	188279601	188279601	0.1751	0.7569	2.46	9.83	0.1336	0.5935	5.0991	24.8813	461	1536	5.5292	27.6459	0.043	0.215	3686	18431	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	chelmon_rostratus_gca_017976325_1	Chelmon rostratus	no	UNASSIGNED	no	no	204384235	204384235	0.1376	0.5948	2	7.72	0.105	0.4663	4.0069	19.5516	362	1207	4.3448	21.724	0.0338	0.169	2897	14483	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	sparus_aurata_gca_900880675_2	Sparus aurata	no	UNASSIGNED	no	no	263433525	263433525	0.223	0.9639	3.13	12.52	0.1702	0.7558	6.4935	31.6852	587	1956	7.0412	35.2058	0.0548	0.2738	4694	23471	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	takifugu_rubripes_gca_901000725_3	Takifugu rubripes	no	UNASSIGNED	no	no	116142483	116142483	0.1384	0.5984	2	7.77	0.1056	0.4692	4.0315	19.6716	364	1214	4.3715	21.8573	0.034	0.17	2914	14572	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	pempheris_klunzingeri_gca_042242105_1	Pempheris klunzingeri	no	UNASSIGNED	no	no	392184847	392184847	0.1679	0.7259	2.36	9.43	0.1282	0.5692	4.8905	23.8635	442	1473	5.303	26.515	0.0412	0.2062	3535	17677	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	sphaeramia_orbicularis_gca_902148855_1	Sphaeramia orbicularis	no	UNASSIGNED	no	no	409879397	409879397	0.3194	1.3808	4.48	17.93	0.2438	1.0827	9.3025	45.3919	841	2802	10.0871	50.4354	0.0785	0.3923	6725	33624	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	gouania_willdenowi_gca_900634775_2	Gouania willdenowi	no	UNASSIGNED	no	no	292230113	292230113	0.2491	1.0769	3.5	13.99	0.1901	0.8444	7.2553	35.4021	656	2185	7.8671	39.3357	0.0612	0.3059	5245	26224	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	cyclopterus_lumpus_gca_009769545_1	Cyclopterus lumpus	no	UNASSIGNED	no	no	169626892	169626892	0.1504	0.6503	2.11	8.45	0.1148	0.5099	4.381	21.3774	396	1320	4.7505	23.7526	0.0369	0.1847	3167	15835	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
candidate	sebastes_umbrosus_gca_015220745_1	Sebastes umbrosus	no	UNASSIGNED	no	no	250375572	250375572	0.1774	0.7671	2.49	9.96	0.1354	0.6015	5.1678	25.2165	467	1557	5.6037	28.0183	0.0436	0.2179	3736	18679	vgp_pilot_budget_v1	unavailable_fail_closed	NO_GO_pending_quota_and_human_gate
