canonical_vgp_root	selection_id	source_path	source_sha256	scenario_id	interval	time_years	effective_size	mutation_rate_per_generation	generation_time_years	psmc_bin_size_bp	mutation_rate_source	generation_time_source
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	23	209101.3617	290953.584325	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	24	228027.18885	267399.22370000003	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	25	248322.8794	267399.22370000003	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	26	270086.50549999997	237520.520525	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	27	293425.5794	237520.520525	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	28	318452.85785000003	206510.316475	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	29	345291.5866	206510.316475	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	30	374072.3537	179183.06255	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	31	404935.71175	179183.06255	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	32	438032.1779	158115.3816	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	33	473523.80720000004	158115.3816	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	34	511583.66815	143658.65512500002	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	35	552397.41605	143658.65512500002	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	36	596164.3419	134860.481925	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	37	643098.4213	134860.481925	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	38	693428.8389000001	130390.594575	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
/moosefs/erikg/vgp	P04	/moosefs/erikg/vgp/pilot/runs/vgp10-auth-20260718-v2-pilot-v1/P04/psmc/finalize/scenario_scaled_trajectories.tsv	78a4323f316fb6a538d9fd7d0ca250683952fbcbe54e90052ad47b519c2ab0d3	SENS_MU5.0E-09_G1Y	39	747401.0373	130390.594575	5e-09	1.0	100	predeclared_generic_sensitivity_grid_not_species_calibration	predeclared_generic_sensitivity_grid_not_species_calibration
