candidate_id	scientific_name	catalog_row_number	resolution_priority	seed_modalities	resolved_modality	h1_accession_version	h2_accession_version	ncbi_taxid	class	order	acceptance_status	explicit_rejection_reason	blocking_requirement_ids	annotation_reference_accession_version	annotation_sequence_region_linkage_status	same_individual_status	phase_evidence_status	metadata_cache_request_keys	resolution_reason_codes
erpetoichthys_calabaricus_gca_900747795_4	Erpetoichthys calabaricus	464		tier3c_seed		GCA_900747795.4	UNRESOLVED	27687	Cladistia	Polypteriformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_900747795.4		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
acipenser_ruthenus_gca_902713425_2	Acipenser ruthenus	465		tier3a_seed,tier3c_seed		GCA_902713425.2	GCA_902713435.2	7906	Actinopteri	Acipenseriformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_902713425.2		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
amia_calva_gca_036373705_1	Amia calva	467		tier3a_seed,tier3c_seed		GCA_036373705.1	GCA_036365475.1	2972642	Actinopteri	Amiiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_036373705.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
lepisosteus_oculatus_gca_040954835_1	Lepisosteus oculatus	468	5	tier3a_seed,tier3c_seed	tier3c_composition	GCF_040954835.1		7918	Actinopteri	Semionotiformes	blocked_stricter_cap	metadata_eligible_but_not_selected_user_quota_unavailable_fail_closed	QUOTA_UNAVAILABLE	GCF_040954835.1	proven_official_exact_h1	not_applicable_composition_only	not_applicable_composition_only	acd393a5da9277a848f470b093eb03c3bce0e279bc31b89637fccb9aa01aef9a;a648ed5fc7c368b934a50744e84196ef308d157f1e493b34628300c30f9eef79;b02baaddc6955124f0b6f02b77cad5f31d1d54c94729456e083ef33e7d75c13e;71c8fe900fa6242cec0830910015e3835284d9f7b19e43db7453aca4b0de973c;b0b8b3959ba817503d21becbf92d2ca0bbb945720998dd169784e691f1527251;a14c6db7db250ccbe11d14c2ec600b54aab4424206d7a4555e9a1ca091f10344	QUOTA_UNAVAILABLE
megalops_cyprinoides_gca_013368585_1	Megalops cyprinoides	470		tier3c_seed		GCA_013368585.1	UNRESOLVED	118141	Actinopteri	Elopiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_013368585.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
anguilla_anguilla_gca_013347855_1	Anguilla anguilla	473		tier3c_seed		GCA_013347855.1	UNRESOLVED	7936	Actinopteri	Anguilliformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_013347855.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
scleropages_formosus_gca_900964775_1	Scleropages formosus	476		tier3c_seed		GCA_900964775.1	UNRESOLVED	113540	Actinopteri	Osteoglossiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_900964775.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
denticeps_clupeoides_gca_900700375_2	Denticeps clupeoides	477		tier3c_seed		GCA_900700375.2	UNRESOLVED	299321	Actinopteri	Clupeiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_900700375.2		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
chanos_chanos_gca_902362185_1	Chanos chanos	483		tier3c_seed		GCA_902362185.1	UNRESOLVED	29144	Actinopteri	Gonorynchiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_902362185.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
pygocentrus_nattereri_gca_015220715_1	Pygocentrus nattereri	499		tier3c_seed		GCA_015220715.1	UNRESOLVED	42514	Actinopteri	Characiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_015220715.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
esox_lucius_gca_011004845_1	Esox lucius	514		tier3c_seed		GCA_011004845.1	UNRESOLVED	8010	Actinopteri	Esociformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_011004845.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
lampris_incognitus_gca_029633865_1	Lampris incognitus	535		tier3a_seed,tier3c_seed		GCA_029633865.1	GCA_029633845.1	2546036	Actinopteri	Lampriformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_029633865.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
gadus_morhua_gca_902167405_1	Gadus morhua	539		tier3c_seed		GCA_902167405.1	UNRESOLVED	8049	Actinopteri	Gadiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_902167405.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
myripristis_murdjan_gca_902150065_1	Myripristis murdjan	548		tier3c_seed		GCA_902150065.1	UNRESOLVED	586833	Actinopteri	Holocentriformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_902150065.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
thalassophryne_amazonica_gca_902500255_1	Thalassophryne amazonica	550		tier3c_seed		GCA_902500255.1	UNRESOLVED	390379	Actinopteri	Batrachoidiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_902500255.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
periophthalmus_magnuspinnatus_gca_009829125_3	Periophthalmus magnuspinnatus	551		tier3c_seed		GCA_009829125.3	UNRESOLVED	409849	Actinopteri	Gobiiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_009829125.3		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
syngnathus_acus_gca_901709675_2	Syngnathus acus	553		tier3a_seed,tier3c_seed		GCA_901709675.2	UNRESOLVED	161584	Actinopteri	Syngnathiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_901709675.2		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
thunnus_maccoyii_gca_910596095_1	Thunnus maccoyii	556		tier3c_seed		GCA_910596095.1	UNRESOLVED	8240	Actinopteri	Scombriformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_910596095.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
mastacembelus_armatus_gca_900324485_3	Mastacembelus armatus	564		tier3c_seed		GCA_900324485.3	UNRESOLVED	205130	Actinopteri	Synbranchiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_900324485.3		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
anabas_testudineus_gca_900324465_3	Anabas testudineus	565		tier3c_seed		GCA_900324465.3	UNRESOLVED	64144	Actinopteri	Anabantiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_900324465.3		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
toxotes_jaculatrix_gca_017976425_1	Toxotes jaculatrix	567		tier3c_seed		GCA_017976425.1	UNRESOLVED	941984	Actinopteri	UNRESOLVED	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_017976425.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
hippoglossus_hippoglossus_gca_009819705_1	Hippoglossus hippoglossus	568		tier3c_seed		GCA_009819705.1	UNRESOLVED	8267	Actinopteri	Pleuronectiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_009819705.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
echeneis_naucrates_gca_900963305_2	Echeneis naucrates	578		tier3c_seed		GCA_900963305.2	UNRESOLVED	173247	Actinopteri	Carangiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_900963305.2		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
parambassis_ranga_gca_900634625_2	Parambassis ranga	581		tier3c_seed		GCA_900634625.2	UNRESOLVED	210632	Actinopteri	UNRESOLVED	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_900634625.2		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
astatotilapia_calliptera_gca_964374335_1	Astatotilapia calliptera	583		tier3a_seed		GCA_964374335.1	UNRESOLVED	8154	Actinopteri	Cichliformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_964374335.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
scatophagus_argus_gca_020382885_1	Scatophagus argus	588		tier3c_seed		GCA_020382885.1	UNRESOLVED	75038	Actinopteri	UNRESOLVED	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_020382885.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
melanotaenia_boesemani_gca_017639745_1	Melanotaenia boesemani	593		tier3c_seed		GCA_017639745.1	UNRESOLVED	1250792	Actinopteri	Atheriniformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_017639745.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
salarias_fasciatus_gca_902148845_1	Salarias fasciatus	601		tier3c_seed		GCA_902148845.1	UNRESOLVED	181472	Actinopteri	Blenniiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_902148845.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
enoplosus_armatus_gca_043641665_1	Enoplosus armatus	607		tier3a_seed,tier3c_seed		GCA_043641665.1	GCA_043640875.1	215367	Actinopteri	Centrarchiformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_043641665.1		yes			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
notolabrus_celidotus_gca_009762535_1	Notolabrus celidotus	611		tier3c_seed		GCA_009762535.1	UNRESOLVED	1203425	Actinopteri	Labriformes	rejected_not_prioritized	outside_six_species_prioritized_clade_stratified_metadata_resolution	PILOT_LIMIT	GCA_009762535.1		no			NOT_IN_PRIORITIZED_CLADE_STRATIFIED_SET
