pair_id	catalog_row	scientific_name	link_class	h1_accession_version	h2_accession_version	disposition	primary_reason_code	core_callable_diversity	psmc_unscaled	annotation_partitions	same_pair_psmc_independent_evidence
R0301-HQ01	301	Grus americana	other_high_quality	GCA_028858705.1	GCA_028858595.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0302-ALT01	302	Grus grus	alternate	GCA_964106855.1	GCA_964059345.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0303-HQ01	303	Porphyrio hochstetteri	other_high_quality	GCA_020800305.1	GCA_020801775.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0304-HQ01	304	Gallinula chloropus	other_high_quality	GCA_964237585.1	GCA_964237395.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0305-HQ01	305	Opisthocomus hoazin	other_high_quality	GCA_030867145.1	GCA_030867165.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0306-ALT01	306	Calypte anna	alternate	GCA_003957555.2	GCA_003957575.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0307-ALT01	307	Phaethornis superciliosus	alternate	GCA_023637945.2	GCA_023637925.2	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0308-HQ01	308	Heliangelus exortis	other_high_quality	GCA_036169615.1	GCA_036172335.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0309-ALT01	309	Apus apus	alternate	GCA_020740795.1	GCA_020740585.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
R0310-ALT01	310	Hemiprocne comata	alternate	GCA_020745705.1	GCA_020745695.1	failed	UPSTREAM_SCALEOUT_NOT_AUTHORIZED	NOT_ESTIMABLE	NOT_ESTIMABLE	NOT_RUN	false
