versioned_taxon_id	candidate_id	scientific_name	ncbi_taxid	class	order	seed_modalities	h1_accession_version	h2_accession_version	same_individual_status	annotation_file_status	annotation_native_status	callable_bases	callable_fraction	queryable_gene_count	queryable_gene_bases	assembly_composition_eligible	assembly_diversity_eligible	population_genomic_eligible	demographic_eligible	acceptance_status	explicit_rejection_reason	blocking_requirement_ids	pilot_selected	predicted_download_gb_exact	predicted_core_hours_base	predicted_core_hours_high	predicted_peak_memory_gib_base	predicted_peak_memory_gib_high	predicted_wall_hours_base	predicted_wall_hours_high	predicted_scratch_gb_base	predicted_scratch_gb_high	predicted_inode_count_base	predicted_inode_count_high	predicted_moosefs_read_gb_base	predicted_moosefs_read_gb_high	predicted_moosefs_write_gb_base	predicted_moosefs_write_gb_high	predicted_metadata_operations_base	predicted_metadata_operations_high	ne_source_rows	accepted_independent_ne_rows	population_availability_rows	callable_diploid_genotypes_availability_class	population_vcf_availability_class	demographic_inference_readiness	join_status
dendropsophus_ebraccatus_gca_027789765_1|GCA_027789765.1	dendropsophus_ebraccatus_gca_027789765_1	Dendropsophus ebraccatus	150705	Amphibia	Anura	tier3a_seed	GCA_027789765.1	GCA_027789725.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	1.317901	0.462	1.997	6.48	25.93	0.3525	1.5658	13.4535	65.6467	1216	4052	14.5882	72.9408	0.1135	0.5673	9725	48627	0	0	0				no_selected_pilot_species_no_inventory_rows
engystomops_pustulosus_gca_040894005_1|GCA_040894005.1	engystomops_pustulosus_gca_040894005_1	Engystomops pustulosus	76066	Amphibia	Anura	tier3a_seed	GCA_040894005.1	GCA_040894015.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	1.193989	0.4013	1.7346	5.63	22.53	0.3062	1.3601	11.6862	57.0231	1056	3520	12.6718	63.359	0.0986	0.4928	8448	42239	0	0	0				no_selected_pilot_species_no_inventory_rows
pseudophryne_corroboree_gca_028390025_1|GCA_028390025.1	pseudophryne_corroboree_gca_028390025_1	Pseudophryne corroboree	495146	Amphibia	Anura	tier3a_seed	GCA_028390025.1	GCA_028390055.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	4.930541	1.3807	5.9685	19.38	32.0	1.0537	4.6799	40.21	196.2052	3633	12111	43.6012	218.0058	0.3391	1.6956	29067	145337	0	0	0				no_selected_pilot_species_no_inventory_rows
ambystoma_mexicanum_x_ambystoma_tigrinum_gca_040938575_1|GCA_040938575.1	ambystoma_mexicanum_x_ambystoma_tigrinum_gca_040938575_1	Ambystoma mexicanum x Ambystoma tigrinum	8296	Amphibia	Caudata	tier3a_seed	GCA_040938575.1	GCA_002915635.3	no	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;reject_same_individual_unresolved	B02;B03	no	17.817599	5.0006	21.6166	70.18	32.0	3.8162	16.9494	145.6315	710.6114	13159	43865	157.9136	789.5682	1.2282	6.1411	105276	526379	0	0	0				no_selected_pilot_species_no_inventory_rows
erpetoichthys_calabaricus_gca_900747795_4|GCA_900747795.4	erpetoichthys_calabaricus_gca_900747795_4	Erpetoichthys calabaricus	27687	Cladistia	Polypteriformes	tier3c_seed	GCA_900747795.4	UNRESOLVED	no	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence	B03	no	1.151187	0.5989	2.5889	8.41	32.0	0.457	2.0299	17.4413	85.1052	1576	5253	18.9123	94.5613	0.1471	0.7355	12608	63041	0	0	0				no_selected_pilot_species_no_inventory_rows
acipenser_ruthenus_gca_902713425_2|GCA_902713425.2	acipenser_ruthenus_gca_902713425_2	Acipenser ruthenus	7906	Actinopteri	Acipenseriformes	tier3a_seed,tier3c_seed	GCA_902713425.2	GCA_902713435.2	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	1.134448	0.3917	1.693	5.5	21.99	0.2989	1.3275	11.406	55.6559	1031	3436	12.368	61.8399	0.0962	0.481	8245	41227	0	0	0				no_selected_pilot_species_no_inventory_rows
amia_calva_gca_036373705_1|GCA_036373705.1	amia_calva_gca_036373705_1	Amia calva	2972642	Actinopteri	Amiiformes	tier3a_seed,tier3c_seed	GCA_036373705.1	GCA_036365475.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	0.577066	0.2103	0.9092	2.95	11.81	0.1605	0.7129	6.1256	29.8898	554	1845	6.6422	33.2109	0.0517	0.2583	4428	22141	0	0	0				no_selected_pilot_species_no_inventory_rows
lepisosteus_oculatus_gca_040954835_1|GCA_040954835.1	lepisosteus_oculatus_gca_040954835_1	Lepisosteus oculatus	7918	Actinopteri	Semionotiformes	tier3a_seed,tier3c_seed	GCA_040954835.1	GCA_040954845.1	yes	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence;ok	B02;B03	no	0.660419	0.2587	1.1183	3.63	14.52	0.1974	0.8769	7.5342	36.7632	681	2269	8.1696	40.848	0.0635	0.3177	5446	27232	0	0	0				no_selected_pilot_species_no_inventory_rows
megalops_cyprinoides_gca_013368585_1|GCA_013368585.1	megalops_cyprinoides_gca_013368585_1	Megalops cyprinoides	118141	Actinopteri	Elopiformes	tier3c_seed	GCA_013368585.1	UNRESOLVED	no	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence	B03	no	0.302039	0.192	0.8302	2.7	10.78	0.1466	0.6509	5.5929	27.2909	505	1685	6.0646	30.3232	0.0472	0.2358	4043	20215	0	0	0				no_selected_pilot_species_no_inventory_rows
anguilla_anguilla_gca_013347855_1|GCA_013347855.1	anguilla_anguilla_gca_013347855_1	Anguilla anguilla	7936	Actinopteri	Anguilliformes	tier3c_seed	GCA_013347855.1	UNRESOLVED	no	missing	unresolved_or_missing	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	UNRESOLVED_PRECOMPUTE	no	no	no	no	rejected_unresolved	missing_exact_h1_annotation_or_file_size_checksum_evidence	B03	no	0.303605	0.2199	0.9505	3.09	12.34	0.1678	0.7453	6.4035	31.2461	579	1929	6.9436	34.7179	0.054	0.27	4629	23145	0	0	0				no_selected_pilot_species_no_inventory_rows
